datetime,symbol,open,high,low,close,volume
2026-03-09 03:45:00+00:00,NSE:BANKNIFTY,56123.8,56274.15,55814.6,55932.65,13722287.0
2026-03-09 03:46:00+00:00,NSE:BANKNIFTY,55904.95,55906.45,55719.5,55745.4,7387807.0
2026-03-09 03:47:00+00:00,NSE:BANKNIFTY,55742.5,55743.7,55568.0,55569.45,4715568.0
2026-03-09 03:48:00+00:00,NSE:BANKNIFTY,55582.0,55626.15,55517.65,55543.25,4966442.0
2026-03-09 03:49:00+00:00,NSE:BANKNIFTY,55566.85,55654.7,55542.75,55608.95,4987855.0
2026-03-09 03:50:00+00:00,NSE:BANKNIFTY,55605.25,55639.3,55582.75,55598.4,3599197.0
2026-03-09 03:51:00+00:00,NSE:BANKNIFTY,55599.65,55602.85,55517.45,55564.55,4046286.0
2026-03-09 03:52:00+00:00,NSE:BANKNIFTY,55557.6,55585.35,55504.3,55511.75,2714812.0
2026-03-09 03:53:00+00:00,NSE:BANKNIFTY,55505.15,55511.55,55448.2,55470.15,3536873.0
2026-03-09 03:54:00+00:00,NSE:BANKNIFTY,55466.45,55466.45,55397.95,55407.9,3496310.0
2026-03-09 03:55:00+00:00,NSE:BANKNIFTY,55406.15,55417.5,55353.15,55382.35,2600432.0
2026-03-09 03:56:00+00:00,NSE:BANKNIFTY,55375.9,55381.3,55281.6,55294.25,2674701.0
2026-03-09 03:57:00+00:00,NSE:BANKNIFTY,55280.9,55393.45,55272.75,55365.6,3501981.0
2026-03-09 03:58:00+00:00,NSE:BANKNIFTY,55365.5,55397.6,55338.35,55395.0,2621374.0
2026-03-09 03:59:00+00:00,NSE:BANKNIFTY,55386.6,55418.75,55349.2,55409.3,3492226.0
2026-03-09 04:00:00+00:00,NSE:BANKNIFTY,55410.25,55557.55,55401.95,55557.55,3895170.0
2026-03-09 04:01:00+00:00,NSE:BANKNIFTY,55552.85,55627.75,55524.55,55604.35,2107194.0
2026-03-09 04:02:00+00:00,NSE:BANKNIFTY,55607.05,55608.75,55466.1,55466.1,2791450.0
2026-03-09 04:03:00+00:00,NSE:BANKNIFTY,55464.2,55509.4,55407.6,55501.45,2502278.0
2026-03-09 04:04:00+00:00,NSE:BANKNIFTY,55505.45,55552.65,55453.45,55531.1,1853113.0
2026-03-09 04:05:00+00:00,NSE:BANKNIFTY,55528.3,55549.25,55487.55,55519.25,1694426.0
2026-03-09 04:06:00+00:00,NSE:BANKNIFTY,55506.75,55519.9,55478.7,55495.9,1320814.0
2026-03-09 04:07:00+00:00,NSE:BANKNIFTY,55490.75,55519.55,55479.25,55490.55,1788580.0
2026-03-09 04:08:00+00:00,NSE:BANKNIFTY,55486.05,55558.15,55483.8,55503.9,1563574.0
2026-03-09 04:09:00+00:00,NSE:BANKNIFTY,55503.5,55559.25,55482.85,55536.95,1685796.0
2026-03-09 04:10:00+00:00,NSE:BANKNIFTY,55537.45,55551.45,55472.55,55493.1,1757571.0
2026-03-09 04:11:00+00:00,NSE:BANKNIFTY,55489.15,55520.3,55470.4,55496.6,2045218.0
2026-03-09 04:12:00+00:00,NSE:BANKNIFTY,55491.95,55532.1,55485.05,55507.85,1616429.0
2026-03-09 04:13:00+00:00,NSE:BANKNIFTY,55511.85,55542.2,55455.45,55460.15,1006147.0
2026-03-09 04:14:00+00:00,NSE:BANKNIFTY,55457.7,55470.25,55370.3,55370.3,1991360.0
2026-03-09 04:15:00+00:00,NSE:BANKNIFTY,55372.55,55390.55,55294.45,55299.75,1892230.0
2026-03-09 04:16:00+00:00,NSE:BANKNIFTY,55290.75,55332.45,55270.6,55322.65,2020558.0
2026-03-09 04:17:00+00:00,NSE:BANKNIFTY,55319.5,55409.55,55317.7,55395.5,1302631.0
2026-03-09 04:18:00+00:00,NSE:BANKNIFTY,55392.0,55465.1,55392.0,55463.3,1751563.0
2026-03-09 04:19:00+00:00,NSE:BANKNIFTY,55464.65,55480.7,55435.8,55444.15,927851.0
2026-03-09 04:20:00+00:00,NSE:BANKNIFTY,55440.4,55446.15,55413.5,55421.3,814255.0
2026-03-09 04:21:00+00:00,NSE:BANKNIFTY,55418.95,55447.95,55383.5,55434.9,1413715.0
2026-03-09 04:22:00+00:00,NSE:BANKNIFTY,55437.15,55503.25,55430.5,55468.65,1202320.0
2026-03-09 04:23:00+00:00,NSE:BANKNIFTY,55468.55,55494.05,55447.7,55451.0,928218.0
2026-03-09 04:24:00+00:00,NSE:BANKNIFTY,55448.35,55465.9,55416.85,55456.4,821217.0
2026-03-09 04:25:00+00:00,NSE:BANKNIFTY,55450.2,55475.25,55434.65,55460.1,644416.0
2026-03-09 04:26:00+00:00,NSE:BANKNIFTY,55452.4,55467.85,55435.35,55455.45,484807.0
2026-03-09 04:27:00+00:00,NSE:BANKNIFTY,55457.15,55469.25,55446.7,55457.25,776889.0
2026-03-09 04:28:00+00:00,NSE:BANKNIFTY,55459.2,55468.7,55425.6,55452.4,932230.0
2026-03-09 04:29:00+00:00,NSE:BANKNIFTY,55455.4,55462.1,55430.95,55432.3,645109.0
2026-03-09 04:30:00+00:00,NSE:BANKNIFTY,55432.2,55464.3,55410.4,55410.4,1011255.0
2026-03-09 04:31:00+00:00,NSE:BANKNIFTY,55411.35,55454.7,55395.1,55403.15,1354755.0
2026-03-09 04:32:00+00:00,NSE:BANKNIFTY,55402.5,55404.6,55333.05,55365.8,1438592.0
2026-03-09 04:33:00+00:00,NSE:BANKNIFTY,55364.3,55364.7,55334.25,55340.2,659236.0
2026-03-09 04:34:00+00:00,NSE:BANKNIFTY,55338.3,55382.0,55323.7,55367.8,667184.0
2026-03-09 04:35:00+00:00,NSE:BANKNIFTY,55373.15,55390.8,55363.2,55386.2,523775.0
2026-03-09 04:36:00+00:00,NSE:BANKNIFTY,55380.7,55458.0,55380.7,55453.6,1713215.0
2026-03-09 04:37:00+00:00,NSE:BANKNIFTY,55452.55,55469.4,55436.7,55460.15,812512.0
2026-03-09 04:38:00+00:00,NSE:BANKNIFTY,55461.1,55483.0,55459.05,55476.55,1294207.0
2026-03-09 04:39:00+00:00,NSE:BANKNIFTY,55473.85,55530.1,55466.55,55524.2,618730.0
2026-03-09 04:40:00+00:00,NSE:BANKNIFTY,55525.05,55556.15,55517.05,55549.1,769805.0
2026-03-09 04:41:00+00:00,NSE:BANKNIFTY,55553.4,55586.8,55553.4,55578.85,1214185.0
2026-03-09 04:42:00+00:00,NSE:BANKNIFTY,55575.15,55581.15,55552.85,55558.7,833556.0
2026-03-09 04:43:00+00:00,NSE:BANKNIFTY,55559.05,55570.15,55530.15,55536.75,955108.0
2026-03-09 04:44:00+00:00,NSE:BANKNIFTY,55529.85,55540.35,55502.1,55522.4,881965.0
2026-03-09 04:45:00+00:00,NSE:BANKNIFTY,55518.05,55518.05,55449.65,55454.2,818285.0
2026-03-09 04:46:00+00:00,NSE:BANKNIFTY,55456.7,55464.7,55432.25,55443.35,709721.0
2026-03-09 04:47:00+00:00,NSE:BANKNIFTY,55446.6,55474.8,55404.25,55409.5,853991.0
2026-03-09 04:48:00+00:00,NSE:BANKNIFTY,55411.05,55419.4,55386.75,55403.15,751184.0
2026-03-09 04:49:00+00:00,NSE:BANKNIFTY,55404.1,55424.55,55388.2,55410.55,990937.0
2026-03-09 04:50:00+00:00,NSE:BANKNIFTY,55405.4,55443.8,55394.5,55443.8,537438.0
2026-03-09 04:51:00+00:00,NSE:BANKNIFTY,55449.85,55490.55,55449.85,55478.95,873527.0
2026-03-09 04:52:00+00:00,NSE:BANKNIFTY,55474.05,55475.55,55422.6,55424.75,609557.0
2026-03-09 04:53:00+00:00,NSE:BANKNIFTY,55424.1,55436.05,55404.4,55416.95,900780.0
2026-03-09 04:54:00+00:00,NSE:BANKNIFTY,55414.2,55420.95,55399.6,55418.55,543456.0
2026-03-09 04:55:00+00:00,NSE:BANKNIFTY,55416.85,55419.7,55351.25,55355.85,899026.0
2026-03-09 04:56:00+00:00,NSE:BANKNIFTY,55351.15,55406.25,55346.85,55399.2,773141.0
2026-03-09 04:57:00+00:00,NSE:BANKNIFTY,55395.75,55421.1,55390.4,55418.05,530079.0
2026-03-09 04:58:00+00:00,NSE:BANKNIFTY,55418.35,55430.05,55400.95,55416.55,355617.0
2026-03-09 04:59:00+00:00,NSE:BANKNIFTY,55417.2,55430.75,55403.25,55414.0,572218.0
