timestamp,open,high,low,close,volume
2026-05-15 15:29:00+05:30,23650.1,23660.75,23645.8,23659.35,0
2026-05-15 15:28:00+05:30,23645.65,23656.05,23642.45,23650.5,0
2026-05-15 15:27:00+05:30,23643.05,23649.0,23642.6,23646.6,0
2026-05-15 15:26:00+05:30,23630.0,23646.15,23628.75,23644.15,0
2026-05-15 15:25:00+05:30,23633.45,23636.5,23625.3,23627.95,0
2026-05-15 15:24:00+05:30,23632.9,23636.45,23629.4,23632.85,0
2026-05-15 15:23:00+05:30,23635.15,23636.15,23630.4,23632.25,0
2026-05-15 15:22:00+05:30,23637.15,23638.4,23626.0,23635.0,0
2026-05-15 15:21:00+05:30,23644.95,23646.85,23635.8,23636.85,0
2026-05-15 15:20:00+05:30,23638.65,23645.65,23637.5,23644.25,0
2026-05-15 15:19:00+05:30,23635.0,23640.3,23632.0,23637.15,0
2026-05-15 15:18:00+05:30,23628.75,23636.85,23626.7,23635.0,0
2026-05-15 15:17:00+05:30,23625.45,23629.05,23622.15,23626.5,0
2026-05-15 15:16:00+05:30,23620.7,23627.15,23616.5,23624.05,0
2026-05-15 15:15:00+05:30,23643.6,23645.85,23619.25,23619.75,0
2026-05-15 15:14:00+05:30,23642.9,23646.05,23640.35,23644.1,0
2026-05-15 15:13:00+05:30,23644.95,23648.9,23642.05,23642.8,0
2026-05-15 15:12:00+05:30,23643.95,23649.05,23640.1,23645.75,0
2026-05-15 15:11:00+05:30,23649.65,23650.15,23643.1,23644.55,0
2026-05-15 15:10:00+05:30,23647.2,23653.2,23646.55,23650.85,0
2026-05-15 15:09:00+05:30,23650.35,23652.05,23644.0,23647.85,0
2026-05-15 15:08:00+05:30,23652.9,23655.6,23646.15,23649.9,0
2026-05-15 15:07:00+05:30,23663.95,23667.2,23652.95,23653.5,0
2026-05-15 15:06:00+05:30,23669.3,23672.15,23661.55,23663.95,0
2026-05-15 15:05:00+05:30,23675.25,23678.35,23667.45,23669.35,0
2026-05-15 15:04:00+05:30,23667.05,23674.75,23662.4,23674.2,0
2026-05-15 15:03:00+05:30,23664.0,23672.85,23664.0,23666.75,0
2026-05-15 15:02:00+05:30,23645.8,23667.3,23645.45,23664.95,0
2026-05-15 15:01:00+05:30,23640.45,23654.85,23640.45,23645.9,0
2026-05-15 15:00:00+05:30,23643.85,23646.15,23633.8,23641.0,0
2026-05-15 14:59:00+05:30,23627.4,23658.15,23627.4,23646.1,0
2026-05-15 14:58:00+05:30,23617.4,23627.85,23612.85,23627.65,0
2026-05-15 14:57:00+05:30,23614.1,23621.6,23614.1,23618.4,0
2026-05-15 14:56:00+05:30,23620.25,23620.8,23612.9,23614.8,0
2026-05-15 14:55:00+05:30,23618.8,23622.9,23611.5,23619.45,0
2026-05-15 14:54:00+05:30,23620.65,23622.05,23611.0,23618.7,0
2026-05-15 14:53:00+05:30,23625.5,23632.3,23619.45,23620.45,0
2026-05-15 14:52:00+05:30,23628.6,23629.0,23618.05,23625.8,0
2026-05-15 14:51:00+05:30,23625.4,23633.3,23616.2,23628.7,0
2026-05-15 14:50:00+05:30,23626.05,23630.75,23610.3,23625.55,0
2026-05-15 14:49:00+05:30,23646.85,23648.4,23625.5,23625.95,0
2026-05-15 14:48:00+05:30,23657.1,23658.8,23643.75,23647.2,0
2026-05-15 14:47:00+05:30,23662.8,23664.75,23652.05,23655.9,0
2026-05-15 14:46:00+05:30,23676.3,23677.0,23661.6,23663.55,0
2026-05-15 14:45:00+05:30,23690.6,23692.25,23675.95,23676.05,0
2026-05-15 14:44:00+05:30,23695.85,23696.95,23689.65,23690.75,0
2026-05-15 14:43:00+05:30,23697.1,23699.7,23693.8,23695.9,0
2026-05-15 14:42:00+05:30,23702.4,23703.15,23693.6,23697.1,0
2026-05-15 14:41:00+05:30,23695.65,23705.3,23693.8,23702.7,0
2026-05-15 14:40:00+05:30,23693.1,23697.65,23690.3,23695.45,0
2026-05-15 14:39:00+05:30,23692.15,23694.45,23685.1,23692.55,0
2026-05-15 14:38:00+05:30,23693.8,23695.0,23690.0,23693.25,0
2026-05-15 14:37:00+05:30,23701.7,23701.7,23690.25,23693.9,0
2026-05-15 14:36:00+05:30,23692.05,23703.2,23688.85,23701.1,0
2026-05-15 14:35:00+05:30,23695.6,23700.5,23691.3,23692.0,0
2026-05-15 14:34:00+05:30,23680.15,23702.95,23680.15,23695.05,0
2026-05-15 14:33:00+05:30,23680.8,23682.7,23676.6,23679.8,0
2026-05-15 14:32:00+05:30,23693.4,23693.9,23680.2,23680.2,0
2026-05-15 14:31:00+05:30,23697.25,23699.35,23693.35,23693.8,0
2026-05-15 14:30:00+05:30,23696.95,23699.85,23692.6,23697.45,0
2026-05-15 14:29:00+05:30,23691.05,23695.7,23685.3,23695.7,0
2026-05-15 14:28:00+05:30,23692.15,23694.65,23689.6,23689.85,0
2026-05-15 14:27:00+05:30,23693.9,23697.5,23688.8,23692.0,0
2026-05-15 14:26:00+05:30,23700.3,23702.65,23693.55,23693.7,0
2026-05-15 14:25:00+05:30,23707.1,23708.5,23698.05,23700.8,0
2026-05-15 14:24:00+05:30,23702.1,23712.95,23702.1,23706.75,0
2026-05-15 14:23:00+05:30,23707.7,23708.75,23701.6,23702.8,0
2026-05-15 14:22:00+05:30,23712.95,23714.35,23704.8,23707.35,0
2026-05-15 14:21:00+05:30,23713.8,23715.9,23712.25,23713.15,0
2026-05-15 14:20:00+05:30,23717.2,23720.2,23712.25,23713.9,0
2026-05-15 14:19:00+05:30,23713.4,23718.15,23713.15,23718.1,0
2026-05-15 14:18:00+05:30,23711.1,23715.4,23709.95,23713.3,0
2026-05-15 14:17:00+05:30,23709.55,23713.7,23704.7,23710.7,0
